journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
2768,0.0,40.691076,-73.979699,3.279,22.1
2768,2.0,40.692711,-73.982103,3.008,20.26
2768,4.0,40.694033,-73.984886,2.743,18.42
2768,6.0,40.69613,-73.986731,2.465,16.58
2768,8.0,40.698318,-73.988466,2.186,14.73
2768,10.0,40.700461,-73.990254,1.909,12.89
2768,12.0,40.702209,-73.992522,1.636,11.05
2768,14.0,40.70405,-73.994676,1.363,9.21
2768,16.0,40.705559,-73.997233,1.093,7.37
2768,18.0,40.707146,-73.999695,0.823,5.53
2768,20.0,40.708522,-74.002413,0.564,3.68
2768,22.0,40.710634,-74.004239,0.283,1.84
2768,24.0,40.7128,-74.006,0.0,0.0
