journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3024,0.13,40.736224,-73.922968,7.466,41.62
3024,2.5,40.734966,-73.928277,6.998,35.1
3024,6.1,40.733655,-73.933398,6.543,32.86
3024,6.18,40.732208,-73.938037,6.12,35.07
3024,18.42,40.730891,-73.943138,5.667,29.04
3024,22.11,40.72941,-73.947656,5.252,27.36
3024,12.01,40.727918,-73.952136,4.841,20.01
3024,31.27,40.726472,-73.956777,4.418,18.32
3024,21.18,40.725056,-73.961527,3.988,17.37
3024,18.68,40.723565,-73.96601,3.577,18.33
3024,20.19,40.722274,-73.971202,3.116,15.45
3024,44.04,40.721025,-73.976545,2.646,14.09
3024,24.6,40.71975,-73.981793,2.182,12.54
3024,26.36,40.718458,-73.986983,1.722,7.39
3024,28.2,40.717209,-73.992323,1.253,5.67
3024,30.11,40.715758,-73.996948,0.831,4.86
3024,32.06,40.71431,-74.001583,0.408,1.9
3024,44.35,40.7128,-74.006,0.0,0.0
