Distance,Speed,TravelMode,ETA
0.5,5.0,Walk,6.0
1.2,15.0,Bike,4.8
2.8,40.0,Car,4.2
0.3,5.0,Walk,3.6
3.5,45.0,Car,4.7
0.8,12.0,Bike,4.0
1.5,5.0,Walk,18.0
4.2,50.0,Car,5.0
0.9,14.0,Bike,3.9
2.1,35.0,Car,3.6
0.6,5.0,Walk,7.2
1.8,16.0,Bike,6.8
3.0,42.0,Car,4.3
0.4,5.0,Walk,4.8
2.5,38.0,Car,3.9
1.1,13.0,Bike,5.1
0.7,5.0,Walk,8.4
3.8,48.0,Car,4.8
1.3,15.0,Bike,5.2
2.2,36.0,Car,3.7
0.9,5.0,Walk,10.8
1.6,14.0,Bike,6.9
2.9,41.0,Car,4.2
0.2,5.0,Walk,2.4
4.0,52.0,Car,4.6
1.4,16.0,Bike,5.3
0.8,5.0,Walk,9.6
3.2,44.0,Car,4.4
1.0,13.0,Bike,4.6
2.7,39.0,Car,4.1
