Distance,Speed,TravelMode,ETA,journey_id
3.66,17.2,Car,16.6,2732
11.94,25.8,Car,36.6,1518
3.0,32.6,Car,11.0,3341
1.34,5.4,Walk,19.7,476
5.05,15.0,Car,30.2,438
0.16,3.0,Walk,3.6,968
0.1,3.6,Walk,4.4,1594
0.8,4.6,Walk,10.1,2443
1.87,8.3,Bike,17.8,3740
8.37,21.5,Car,23.3,3055
7.2,18.2,Car,24.3,3625
0.1,8.0,Bike,6.2,932
0.94,15.0,Car,13.0,2532
0.64,3.8,Walk,11.3,3300
9.24,46.8,Car,15.7,3564
16.84,15.0,Car,79.9,3319
1.65,46.0,Car,16.6,1442
8.57,42.5,Car,14.6,3291
1.0,59.0,Car,1.1,4056
1.37,8.0,Bike,14.0,710
1.58,3.0,Walk,37.3,2462
0.44,3.1,Walk,13.5,1834
2.39,15.0,Car,20.7,3557
0.34,4.6,Walk,6.6,385
3.73,30.3,Car,13.8,3639
0.11,4.2,Walk,3.4,4071
0.72,15.0,Car,3.1,64
1.02,14.3,Bike,6.6,845
4.1,25.7,Car,12.1,256
0.1,9.6,Bike,2.8,4306
1.35,3.4,Walk,24.5,3492
6.68,17.5,Car,29.2,546
1.41,9.0,Bike,16.2,1638
0.14,3.0,Walk,3.8,1502
3.34,15.0,Car,14.9,4301
4.43,8.4,Bike,35.8,3163
2.19,3.1,Walk,47.6,920
0.32,5.4,Walk,4.4,315
2.89,3.0,Walk,64.4,15
2.81,10.7,Bike,20.9,3256
7.65,26.3,Car,21.7,3705
2.58,10.2,Bike,22.9,2407
8.93,16.6,Car,37.3,3044
11.34,42.6,Car,23.0,1170
7.23,56.0,Car,15.8,1597
0.77,3.0,Walk,18.1,3526
0.67,10.0,Bike,7.3,919
5.12,16.9,Car,19.6,2127
0.54,52.3,Car,3.7,410
8.06,26.8,Car,19.1,936
2.68,9.0,Bike,17.0,4277
0.3,3.6,Walk,9.6,3365
0.1,3.5,Walk,3.2,4406
3.71,15.0,Car,22.6,3641
4.15,39.3,Car,16.6,1495
2.52,31.9,Car,8.1,3983
3.73,15.0,Car,24.1,2610
4.8,20.0,Car,23.1,3506
0.47,12.1,Bike,6.8,4398
0.37,3.0,Walk,11.4,4141
3.26,15.2,Car,13.6,376
7.45,26.9,Car,21.2,1209
0.1,20.1,Bike,5.7,341
1.76,25.9,Car,16.8,3768
7.17,13.2,Bike,43.6,1166
9.16,15.0,Car,42.1,1304
5.13,37.5,Car,16.1,2321
0.1,3.4,Walk,3.2,3215
0.33,25.7,Car,8.3,2151
2.66,15.0,Car,19.3,2163
1.02,8.0,Bike,9.5,2041
0.44,8.0,Bike,5.9,4079
4.23,31.6,Car,11.8,3218
6.69,27.0,Car,20.7,2638
0.56,3.0,Walk,16.7,2077
2.09,44.0,Car,8.9,324
16.3,25.4,Car,43.7,1623
1.73,32.3,Car,8.3,1471
0.26,10.0,Bike,6.3,1130
2.33,15.0,Car,21.6,530
1.17,35.6,Car,4.9,3720
4.2,8.1,Bike,28.7,688
2.03,3.2,Walk,42.1,4250
4.1,15.0,Car,26.3,3413
1.97,3.0,Walk,42.7,1898
0.29,8.0,Bike,11.9,1454
8.36,20.6,Car,29.2,3201
3.89,15.0,Car,29.5,272
2.59,26.0,Car,14.4,186
0.33,3.0,Walk,8.8,3249
2.76,26.5,Car,12.3,1649
1.44,12.5,Bike,9.7,4182
0.12,3.3,Walk,3.2,1470
0.77,11.1,Bike,4.9,238
1.96,8.0,Bike,17.7,1165
3.89,18.7,Car,18.6,2652
10.41,49.3,Car,16.2,3721
3.0,3.0,Walk,63.6,1100
1.62,5.2,Walk,23.8,2598
0.98,26.6,Car,9.4,2261
11.2,38.5,Car,21.0,1826
0.83,22.6,Car,7.9,1734
2.14,3.6,Walk,40.7,3923
7.71,35.9,Car,12.9,1951
2.09,15.0,Car,15.0,1553
2.11,10.1,Bike,16.6,3567
0.71,3.0,Walk,17.5,1452
0.74,8.0,Bike,12.4,2310
0.1,3.3,Walk,4.1,1647
4.36,33.4,Car,21.0,3330
0.54,3.7,Walk,9.3,3422
1.61,12.9,Bike,11.0,1455
0.14,4.0,Walk,3.8,973
0.35,3.0,Walk,6.7,195
8.12,35.4,Car,20.1,1836
6.55,46.5,Car,19.0,429
7.43,55.0,Car,10.5,3284
0.25,41.9,Car,8.4,2343
4.32,17.9,Car,15.7,1713
0.39,3.0,Walk,12.4,2868
1.27,8.5,Bike,11.9,1140
3.76,19.1,Car,27.9,1585
3.43,37.8,Car,13.6,1108
8.61,28.6,Car,22.1,2419
3.61,34.2,Car,6.7,1336
0.41,3.4,Walk,7.7,330
6.26,33.3,Car,14.8,1061
0.72,8.7,Bike,9.1,4158
0.4,3.0,Walk,11.4,4217
9.31,15.0,Car,37.9,4072
0.88,3.0,Walk,16.3,2665
1.83,8.0,Bike,22.0,1042
20.2,58.9,Car,30.8,1579
0.31,13.3,Bike,4.3,1003
10.16,25.1,Car,27.3,3804
2.71,17.0,Car,16.5,4265
7.88,16.3,Car,35.8,1291
0.72,3.0,Walk,17.6,652
0.51,3.5,Walk,8.7,1196
7.76,15.0,Car,43.6,3691
2.76,34.6,Car,14.8,33
6.23,15.0,Car,30.9,350
3.0,3.0,Walk,61.9,3105
0.92,12.0,Bike,7.4,3657
0.7,11.7,Bike,6.8,2778
0.1,4.7,Walk,2.5,3953
0.1,3.0,Walk,9.2,132
3.73,70.4,Car,6.4,3690
2.08,8.0,Bike,15.9,322
6.69,23.8,Car,23.3,2214
13.26,40.3,Car,19.7,1556
6.87,21.9,Car,21.2,603
2.32,8.0,Bike,21.7,308
0.58,3.7,Walk,12.2,4224
0.39,3.2,Walk,12.2,3945
1.2,3.0,Walk,24.5,672
1.65,8.9,Bike,19.7,806
0.83,3.0,Walk,24.1,4203
