journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3729,0.0,40.725434,-74.047896,3.8,19.9
3729,2.0,40.724317,-74.04322,3.388,17.91
3729,4.0,40.723068,-74.038982,3.005,15.92
3729,6.0,40.721704,-74.035127,2.647,13.93
3729,8.0,40.720274,-74.03149,2.303,11.94
3729,10.0,40.718974,-74.027421,1.932,9.95
3729,12.0,40.717775,-74.023018,1.537,7.96
3729,14.0,40.716674,-74.018289,1.122,5.97
3729,16.0,40.715598,-74.013478,0.703,3.98
3729,18.0,40.714237,-74.009615,0.344,1.99
3729,20.0,40.7128,-74.006,0.0,0.0
