journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3769,0.03,40.731202,-74.042059,3.663,20.32
3769,2.52,40.729459,-74.037461,3.234,14.89
3769,9.34,40.727289,-74.0337,2.836,12.21
3769,13.49,40.725068,-74.030039,2.442,12.78
3769,10.54,40.722719,-74.026628,2.059,10.48
3769,10.25,40.720734,-74.022506,1.647,7.15
3769,12.65,40.718934,-74.01802,1.221,4.93
3769,14.22,40.717119,-74.013563,0.798,3.63
3769,16.42,40.71504,-74.009623,0.394,2.12
3769,18.12,40.7128,-74.006,0.0,0.0
