journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
4094,0,0.03,21,42,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,1,4.78,21,46,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,2,4.12,21,46,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,3,13.95,21,55,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,4,16.05,21,58,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,5,13.1,21,55,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,6,12.65,21,54,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,7,19.02,22,1,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,8,16.35,21,58,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,9,39.68,22,21,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,10,20.84,22,2,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,11,48.74,22,30,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,12,24.04,22,6,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,13,57.5,22,39,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,14,28.32,22,10,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,15,30.09,22,12,0,0,31.6,70.81,124.08,Car,9.91,21.4
4094,16,70.81,22,52,0,0,31.6,70.81,124.08,Car,9.91,21.4
