Distance,Speed,TravelMode,ETA,journey_id
0.23,8.0,Bike,3.5,2420
8.39,29.0,Car,32.2,3815
0.1,3.8,Walk,2.5,979
0.1,6.3,Walk,2.4,4185
1.23,26.9,Car,8.1,3195
0.1,10.5,Bike,3.3,2092
1.5,8.0,Bike,13.2,1157
0.88,3.0,Walk,19.3,2240
0.74,18.1,Car,11.4,1799
7.59,15.0,Car,32.9,1206
7.87,18.2,Car,40.0,2089
0.2,3.0,Walk,7.2,2589
0.16,3.2,Walk,4.1,260
4.99,15.0,Car,19.6,75
12.52,21.6,Car,40.4,2330
0.53,3.4,Walk,9.5,3796
6.75,15.0,Car,35.5,197
0.2,3.0,Walk,5.0,4220
0.81,3.0,Walk,20.4,1851
3.49,8.0,Bike,28.0,114
0.39,4.0,Walk,7.5,3366
1.37,3.8,Walk,25.1,2513
0.31,3.0,Walk,8.0,1235
8.19,29.9,Car,26.9,1725
0.49,4.5,Walk,6.5,3528
8.08,15.0,Car,38.7,2070
5.52,13.2,Bike,27.9,1998
2.74,16.1,Car,11.0,7
3.13,8.0,Bike,30.7,566
9.64,38.4,Car,26.4,2248
3.93,11.3,Bike,24.7,725
4.79,39.2,Car,11.7,1581
1.4,14.9,Bike,6.8,820
0.1,3.0,Walk,5.1,3761
2.71,3.2,Walk,60.5,666
1.36,3.0,Walk,29.0,4326
6.19,18.6,Car,26.2,2425
1.05,3.0,Walk,23.3,3126
0.1,3.8,Walk,5.6,2682
4.01,44.5,Car,9.0,2716
5.24,8.0,Bike,47.1,800
4.87,32.9,Car,12.6,4031
3.48,19.7,Car,26.0,2329
1.01,29.5,Car,3.0,1745
2.38,19.6,Car,14.3,3666
5.59,48.1,Car,12.2,1852
10.87,15.0,Car,39.4,2493
11.62,21.3,Car,43.2,1960
5.49,21.8,Car,19.8,2552
2.39,27.7,Car,9.9,4392
0.91,17.8,Car,9.3,3826
1.38,16.7,Bike,7.9,4260
0.81,9.3,Bike,5.6,2392
3.72,31.6,Car,11.9,3642
0.75,3.7,Walk,15.3,4097
0.88,3.2,Walk,18.1,659
8.06,29.2,Car,26.2,694
1.06,9.4,Bike,11.7,2845
5.43,28.1,Car,18.3,2926
5.16,41.6,Car,19.7,2302
2.45,32.9,Car,7.4,1922
0.62,4.0,Walk,10.9,741
1.17,3.0,Walk,30.7,1223
9.41,15.0,Car,35.2,4280
3.07,44.4,Car,9.1,154
0.55,3.0,Walk,11.5,4373
0.61,3.0,Walk,13.7,3271
0.68,3.9,Walk,11.2,4297
5.75,17.9,Car,29.3,549
0.1,3.0,Walk,5.6,2162
4.96,12.7,Bike,25.5,1288
3.0,3.0,Walk,54.4,1804
0.1,3.0,Walk,5.2,597
9.08,25.2,Car,29.8,1619
7.57,26.8,Car,22.1,879
3.14,17.4,Bike,13.7,3637
3.55,19.8,Car,17.7,3773
0.18,3.5,Walk,5.3,960
3.75,24.9,Car,21.6,1425
0.34,12.9,Bike,4.7,2827
4.74,15.0,Car,16.5,1476
3.94,27.0,Car,9.0,532
14.76,31.2,Car,36.5,2344
11.79,30.9,Car,31.3,419
1.47,9.3,Bike,11.2,3992
0.44,3.0,Walk,12.0,442
2.67,45.3,Car,4.8,1265
0.1,5.1,Walk,2.9,610
