journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
2493,0.0,40.716372,-73.87079,11.403,39.4
2493,2.0,40.7162,-73.877812,10.811,37.43
2493,4.0,40.716025,-73.884717,10.228,35.46
2493,6.0,40.715857,-73.89185,9.627,33.49
2493,8.0,40.715677,-73.898561,9.061,31.52
2493,10.0,40.715493,-73.905119,8.508,29.55
2493,12.0,40.715304,-73.911507,7.969,27.58
2493,14.0,40.71512,-73.918034,7.419,25.61
2493,16.0,40.714928,-73.924301,6.89,23.64
2493,18.0,40.71475,-73.931067,6.319,21.67
2493,20.0,40.714576,-73.938006,5.734,19.7
2493,22.0,40.714398,-73.944803,5.161,17.73
2493,24.0,40.714219,-73.951556,4.591,15.76
2493,26.0,40.714048,-73.958587,3.999,13.79
2493,28.0,40.713877,-73.965662,3.402,11.82
2493,30.0,40.713707,-73.972747,2.804,9.85
2493,32.0,40.713533,-73.979672,2.22,7.88
2493,34.0,40.713361,-73.986681,1.63,5.91
2493,36.0,40.713166,-73.992803,1.113,3.94
2493,38.0,40.712987,-73.999574,0.542,1.97
2493,40.0,40.7128,-74.006,0.0,0.0
