journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
518,0.14,40.801025,-74.004627,9.811,54.85
518,4.75,40.797938,-74.004681,9.468,51.71
518,4.63,40.794766,-74.004733,9.115,54.55
518,12.16,40.791561,-74.004785,8.758,52.07
518,17.6,40.788381,-74.004837,8.405,55.21
518,10.49,40.785156,-74.004889,8.046,47.12
518,12.13,40.782186,-74.004944,7.716,42.85
518,31.71,40.778804,-74.004993,7.34,41.54
518,16.65,40.775106,-74.005038,6.929,40.26
518,18.8,40.771617,-74.005085,6.541,35.43
518,20.16,40.768183,-74.005133,6.159,30.46
518,45.68,40.764623,-74.005179,5.763,31.52
518,24.3,40.761478,-74.005232,5.413,31.3
518,26.16,40.757708,-74.005275,4.994,34.82
518,62.03,40.754601,-74.005329,4.648,32.61
518,30.3,40.751569,-74.005383,4.311,23.74
518,32.37,40.748261,-74.005433,3.943,23.9
518,44.34,40.745145,-74.005486,3.597,23.53
518,36.01,40.742208,-74.005542,3.27,21.25
518,76.64,40.739098,-74.005596,2.924,15.67
518,40.04,40.736266,-74.005653,2.609,15.77
518,42.19,40.73316,-74.005707,2.264,14.42
518,44.64,40.729647,-74.005754,1.873,11.71
518,46.07,40.726255,-74.005803,1.496,8.97
518,48.08,40.723002,-74.005854,1.134,5.85
518,100.52,40.719776,-74.005905,0.776,4.0
518,104.29,40.71641,-74.005954,0.401,1.91
518,109.49,40.7128,-74.006,0.0,0.0
