journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
970,0.0,40.71889,-73.994245,1.2,27.7
970,2.0,40.718505,-73.99518,1.111,25.72
970,4.0,40.718018,-73.995921,1.029,23.74
970,6.0,40.717691,-73.996969,0.935,21.76
970,8.0,40.71723,-73.997759,0.852,19.79
970,10.0,40.716705,-73.998423,0.772,17.81
970,12.0,40.716219,-73.999164,0.69,15.83
970,14.0,40.715856,-74.000144,0.599,13.85
970,16.0,40.71543,-74.001,0.513,11.87
970,18.0,40.71492,-74.001695,0.433,9.89
970,20.0,40.714348,-74.002271,0.358,7.91
970,22.0,40.714134,-74.003538,0.255,5.94
970,24.0,40.713703,-74.004384,0.169,3.96
970,26.0,40.713096,-74.004893,0.099,1.98
970,28.0,40.7128,-74.006,0.0,0.0
