journey_id,timestamp_minutes,latitude,longitude,distance_remaining_km,eta_remaining_minutes
3427,0.14,40.758677,-73.995669,5.175,17.74
3427,2.1,40.754044,-73.996921,4.65,13.58
3427,4.11,40.749226,-73.998132,4.104,15.07
3427,6.06,40.743385,-73.999113,3.45,11.36
3427,11.21,40.737447,-74.000071,2.786,9.35
3427,13.04,40.73283,-74.001327,2.262,7.78
3427,12.09,40.728092,-74.002556,1.725,5.57
3427,14.16,40.723611,-74.003843,1.216,4.32
3427,21.01,40.718771,-74.005049,0.669,2.35
3427,18.56,40.7128,-74.006,0.0,0.0
