journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
1765,0,0.0,7,48,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,1,2.0,7,50,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,2,4.0,7,52,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,3,6.0,7,54,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,4,8.0,7,57,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,5,10.0,7,59,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,6,12.0,8,0,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,7,14.0,8,2,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,8,16.0,8,5,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,9,18.0,8,7,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,10,20.0,8,9,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,11,22.0,8,11,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,12,24.0,8,13,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,13,26.0,8,15,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,14,28.0,8,16,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,15,30.0,8,18,1,0,31.6,32.0,1.27,Car,10.31,23.9
1765,16,32.0,8,20,1,0,31.6,32.0,1.27,Car,10.31,23.9
