journey_id,update_sequence,elapsed_minutes,time_of_day_hour,time_of_day_minute,is_rush_hour,is_lunch_hour,original_eta_minutes,actual_duration_minutes,time_variance_percent,travel_mode,original_distance_km,original_speed_kmh
1491,0,0.01,12,6,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,1,5.53,12,11,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,2,9.02,12,15,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,3,6.06,12,12,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,4,8.55,12,14,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,5,10.11,12,16,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,6,26.45,12,32,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,7,28.0,12,34,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,8,21.03,12,27,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,9,18.29,12,24,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,10,44.02,12,50,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,11,48.75,12,54,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,12,52.96,12,58,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,13,57.23,13,3,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,14,28.24,12,34,0,1,28.7,66.02,130.02,Car,2.21,22.0
1491,15,66.02,13,12,0,1,28.7,66.02,130.02,Car,2.21,22.0
